Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3
round_3,phase1,14,0,D1_1,0,0.9999142532167122,1.8520721357437944e-05,9.311885929990898e-08,6.713294307267652e-05
round_2,phase3,14,0,D1_1,0,0.9999814899789257,4.910636964779294e-15,1.850995623739331e-05,6.483076829127938e-11
round_2,phase2,14,0,D1_1,2,0.00016077447164764951,1.696634953626098e-08,0.9907049847196068,0.00913422384239481
round_2,phase1,14,0,D1_1,1,0.0004360916496310151,0.9491000743681621,0.024396118288788494,0.026067715693417225
round_4,phase3,14,0,D1_1,1,0.00013083686912935288,0.9944999428044827,1.0809797681749485e-15,0.005369220326385609
round_4,phase2,14,0,D1_1,2,0.000516892442040673,0.3119223553139966,0.4138786180914218,0.27368213415254256
round_4,phase1,14,0,D1_1,1,0.00010759104639125396,0.9833153763045323,0.008048886220737747,0.008528146428338804
round_1,phase3,14,0,D1_1,2,0.07422717372029772,2.2501864621452006e-15,0.9224171381844023,0.0033556880952974304
round_1,phase2,14,0,D1_1,1,0.011587133586313877,0.6250840479216034,0.07248669990678035,0.2908421185853032
round_1,phase1,14,0,D1_1,3,0.0036567197189760494,1.3771030116935124e-12,0.001837001721314289,0.9945062785583321
round_3,phase3,15,1,D1_2,1,0.0007074807502958901,0.9838837857472298,2.3960960480121715e-07,0.015408493892868368
round_3,phase2,15,1,D1_2,3,0.12720445688065504,9.119330494149894e-08,0.0002162315294450624,0.8725792203965955
round_3,phase1,15,1,D1_2,3,0.03022908184750746,0.016023534095660954,5.867410551108079e-05,0.9536887099513206
round_2,phase3,15,1,D1_2,0,0.9999998351890718,7.233799362885444e-12,1.2479023537455953e-10,1.6467890432864408e-07
round_2,phase2,15,1,D1_2,2,0.00039028103546532585,0.007424929027494592,0.9910098408202634,0.0011749491167769022
round_2,phase1,15,1,D1_2,3,0.014649466476047552,3.61827188945145e-10,0.005375246069182083,0.9799752870929433
