Round,Phase,Individual,Puzzler,Cohort,pa_score,na_score,emotional_cluster_id,emotional_cluster,prob_emotional_0,prob_emotional_1,prob_emotional_2,prob_emotional_3
round_4,phase1,11,0,D1_1,2.0,0.8333333333333334,0,Engaged/Calm,0.4871210552316852,0.04610053073737531,0.4349401454591136,0.03183826857182591
round_1,phase3,11,0,D1_1,2.8,1.1666666666666667,1,Tense/Stressed,0.005877362331737717,0.8469434087978821,0.00018636551298743337,0.14699286335739276
round_1,phase2,11,0,D1_1,1.6,1.6666666666666667,3,Alert/Anxious,7.293032019674968e-20,0.21302100427104767,1.3431638974823556e-12,0.7869789957276092
round_1,phase1,11,0,D1_1,1.8,2.0,3,Alert/Anxious,6.718684527837108e-40,0.0002676064138853765,2.6311986223420038e-27,0.9997323935861144
round_3,phase3,12,0,D1_1,3.0,1.8333333333333333,3,Alert/Anxious,1.3683597784894971e-28,0.006116830784659857,3.7686254808473144e-23,0.9938831692153401
round_3,phase2,12,0,D1_1,2.0,1.3333333333333333,1,Tense/Stressed,3.152669789347809e-07,0.8641643645759318,0.00010580539720238345,0.1357295147598868
round_3,phase1,12,0,D1_1,3.2,1.5,3,Alert/Anxious,4.327778813562352e-12,0.46385499786363954,1.858166828823315e-12,0.5361450021301744
round_2,phase3,12,0,D1_1,2.2,2.3333333333333335,3,Alert/Anxious,6.048969697712303e-67,7.326285672232133e-09,6.79810450711005e-48,0.9999999926737142
round_2,phase2,12,0,D1_1,2.6,2.8333333333333335,3,Alert/Anxious,1.1544279422722095e-120,1.685046322422056e-18,1.757735089874196e-88,1.0
round_2,phase1,12,0,D1_1,2.8,1.3333333333333333,1,Tense/Stressed,7.800538992812543e-07,0.798486683498755,4.93296001825583e-07,0.20151204315134394
round_4,phase3,12,0,D1_1,1.2,2.0,3,Alert/Anxious,3.79066742495465e-40,0.00034730735782974407,9.64900387431349e-27,0.9996526926421705
round_4,phase2,12,0,D1_1,2.2,2.0,3,Alert/Anxious,9.174076571032598e-40,0.0002171463000730034,3.6113658450283095e-28,0.9997828536999271
round_4,phase1,12,0,D1_1,2.0,1.1666666666666667,1,Tense/Stressed,0.002245256125433946,0.8663883819340524,0.03778290333244758,0.09358345860806604
round_1,phase3,12,0,D1_1,3.2,1.6666666666666667,3,Alert/Anxious,2.32960550255235e-19,0.09489582058649293,1.5233881266294483e-17,0.9051041794135071
round_1,phase2,12,0,D1_1,2.2,2.5,3,Alert/Anxious,3.7970079035804804e-83,1.157263910253409e-11,1.0474373536885554e-59,0.9999999999884275
round_1,phase1,12,0,D1_1,2.4,0.8333333333333334,0,Engaged/Calm,0.8581916638199711,0.048943893729105015,0.05061569073336295,0.04224875171756096
round_3,phase3,13,1,D1_1,3.2,1.6666666666666667,3,Alert/Anxious,2.32960550255235e-19,0.09489582058649293,1.5233881266294483e-17,0.9051041794135071
round_3,phase2,13,1,D1_1,3.2,2.1666666666666665,3,Alert/Anxious,2.981105254087616e-52,1.0209717073244742e-06,3.0673053559484996e-41,0.9999989790282926
round_3,phase1,13,1,D1_1,3.4,1.6666666666666667,3,Alert/Anxious,2.518449125623361e-19,0.08275720738774976,1.3341479497131856e-18,0.9172427926122503
round_2,phase3,13,1,D1_1,3.4,2.0,3,Alert/Anxious,1.668413863087423e-39,9.800224883268246e-05,4.3266785341879596e-33,0.9999019977511672
round_2,phase2,13,1,D1_1,3.8,2.8333333333333335,3,Alert/Anxious,1.7742591732582846e-120,6.988896907566942e-19,1.4333643837561125e-94,1.0
round_2,phase1,13,1,D1_1,3.6,1.3333333333333333,1,Tense/Stressed,1.6091489875848994e-06,0.6878657659860186,6.669314706650697e-11,0.3121326247983006
round_4,phase3,13,1,D1_1,2.6,1.1666666666666667,1,Tense/Stressed,0.0047292359167645836,0.8626925734644232,0.000986130170075,0.1315920604487371
round_4,phase2,13,1,D1_1,2.6,1.5,1,Tense/Stressed,2.6561097439411625e-12,0.5655116573985435,6.087562027163011e-10,0.43448834199004427
round_4,phase1,13,1,D1_1,3.0,1.6666666666666667,3,Alert/Anxious,2.1224296047529874e-19,0.10792542132054928,1.388842890526484e-16,0.8920745786794505
round_1,phase3,13,1,D1_1,3.0,1.5,3,Alert/Anxious,3.7339108034061176e-12,0.4995821110156792,1.60426174678027e-11,0.5004178889645442
round_1,phase2,13,1,D1_1,3.0,2.0,3,Alert/Anxious,1.4456812121211066e-39,0.00013140824092925703,4.63097450973587e-31,0.9998685917590706
round_1,phase1,13,1,D1_1,3.4,1.1666666666666667,1,Tense/Stressed,0.01054483890882937,0.7811503099468956,3.336937760592642e-07,0.20830451745049913
round_3,phase3,14,0,D1_1,1.4,1.3333333333333333,1,Tense/Stressed,1.4471353500496792e-07,0.8935357997397627,0.0005925610379325224,0.10587149450876977
round_3,phase2,14,0,D1_1,1.4,1.8333333333333333,3,Alert/Anxious,4.365745725804924e-29,0.014798026387600317,6.31550359609637e-19,0.9852019736123998
round_3,phase1,14,0,D1_1,2.2,1.0,0,Engaged/Calm,0.35345122448610383,0.3435571756465456,0.23526122439274919,0.06773037547460149
round_2,phase3,14,0,D1_1,1.6,1.0,2,Drained/Disengaged,0.05347351109536834,0.11465475621444336,0.8151759450721409,0.01669578761804741
round_2,phase2,14,0,D1_1,3.0,1.3333333333333333,1,Tense/Stressed,9.525888039454183e-07,0.7756915921823619,7.426129931471757e-08,0.2243073809675348
round_2,phase1,14,0,D1_1,1.6,1.3333333333333333,1,Tense/Stressed,1.8924458108982386e-07,0.8851786152361216,0.00041522317775311826,0.11440597234154412
round_4,phase3,14,0,D1_1,1.2,1.0,2,Drained/Disengaged,0.02071815768569662,0.07795229306962356,0.891722384013964,0.009607165230715834
round_4,phase2,14,0,D1_1,1.8,1.5,1,Tense/Stressed,1.143359475043523e-12,0.6703288924708999,6.00569971925036e-08,0.3296710474709595
round_4,phase1,14,0,D1_1,1.6,1.3333333333333333,1,Tense/Stressed,1.8924458108982386e-07,0.8851786152361216,0.00041522317775311826,0.11440597234154412
round_1,phase3,14,0,D1_1,1.6,1.1666666666666667,1,Tense/Stressed,0.0012077076452398907,0.7952398561289058,0.13286789397632387,0.07068454224953026
round_1,phase2,14,0,D1_1,2.6,2.1666666666666665,3,Alert/Anxious,2.2576789233702383e-52,1.535949507275515e-06,1.2399941019801424e-38,0.999998464050493
round_1,phase1,14,0,D1_1,1.8,1.3333333333333333,1,Tense/Stressed,2.4535489654092867e-07,0.8754685411674069,0.00023384136124099462,0.12429737211645564
round_3,phase3,15,1,D1_2,1.2,1.3333333333333333,1,Tense/Stressed,1.0974615708160074e-07,0.9007850489297121,0.0006798503674914173,0.09853499095663933
round_3,phase2,15,1,D1_2,3.8,2.0,3,Alert/Anxious,1.820479326071943e-39,7.106160038239156e-05,1.650534693055671e-35,0.9999289383996175
round_3,phase1,15,1,D1_2,1.6,1.0,2,Drained/Disengaged,0.05347351109536834,0.11465475621444336,0.8151759450721409,0.01669578761804741
round_2,phase3,15,1,D1_2,1.4,1.1666666666666667,1,Tense/Stressed,0.0008723195629784522,0.7582410256680768,0.17910167712173256,0.06178497764721221
round_2,phase2,15,1,D1_2,2.4,2.3333333333333335,3,Alert/Anxious,6.921170911849335e-67,6.530124539655549e-09,1.7999368906889253e-48,0.9999999934698756
round_2,phase1,15,1,D1_2,2.8,1.1666666666666667,1,Tense/Stressed,0.005877362331737717,0.8469434087978821,0.00018636551298743337,0.14699286335739276
round_4,phase3,15,1,D1_2,2.2,2.0,3,Alert/Anxious,9.174076571032598e-40,0.0002171463000730034,3.6113658450283095e-28,0.9997828536999271
round_4,phase2,15,1,D1_2,3.2,3.1666666666666665,3,Alert/Anxious,3.8942570476122313e-165,6.4192683730748264e-27,8.237092745826635e-124,1.0
round_4,phase1,15,1,D1_2,3.2,1.3333333333333333,1,Tense/Stressed,1.1494508582041447e-06,0.749804882951902,8.954798901957108e-09,0.25019395864244093
round_1,phase3,15,1,D1_2,1.6,0.8333333333333334,2,Drained/Disengaged,0.14102980766953635,0.02277558441228943,0.8232510733971368,0.01294353452103743
round_1,phase2,15,1,D1_2,3.4,1.5,3,Alert/Anxious,4.9359795102636694e-12,0.4267745123504759,1.7168629264647193e-13,0.5732254876444165
round_1,phase1,15,1,D1_2,3.2,1.0,0,Engaged/Calm,0.7084697431769701,0.21184834538064157,3.834787078176605e-05,0.07964356357160646
round_3,phase3,16,0,D1_2,3.4,0.8333333333333334,0,Engaged/Calm,0.9531552782879869,0.017317317145059456,1.600423686630302e-06,0.029525804143266967
round_3,phase2,16,0,D1_2,3.8,1.0,0,Engaged/Calm,0.7956210564478771,0.12753663704689422,1.219710917260251e-08,0.07684229430811969
round_3,phase1,16,0,D1_2,2.8,0.8333333333333334,0,Engaged/Calm,0.9291578366943132,0.03283853053145669,0.0015632762657507551,0.03644035650847942
round_2,phase3,16,0,D1_2,2.2,0.8333333333333334,0,Engaged/Calm,0.7223264636651456,0.052882052287929575,0.18410395826996329,0.04068752577696138
round_2,phase2,16,0,D1_2,2.2,1.3333333333333333,1,Tense/Stressed,4.013554664856655e-07,0.8510455443061635,3.844992751941382e-05,0.14891560441085053
round_2,phase1,16,0,D1_2,2.2,1.0,0,Engaged/Calm,0.35345122448610383,0.3435571756465456,0.23526122439274919,0.06773037547460149
round_4,phase3,16,0,D1_2,3.0,0.8333333333333334,0,Engaged/Calm,0.9397874043850564,0.026421920803413372,0.00019491710282980524,0.03359575770870044
