UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,Round,Phase,Individual,Puzzler,Cohort
9.050914,1.2770399,6.072658,2.2140005,8.379046,3.6676354,0.7646113,10.645001,1.3236744,-0.49714747,round_1,phase1,7,1,D1_1
9.202506,1.7560768,5.8700213,2.9483602,7.7039423,4.818375,1.1582807,10.15869,2.34178,-0.2381811,round_3,phase3,8,0,D1_1
9.264665,1.9629431,5.737958,3.2221556,7.805646,4.901804,1.3850014,10.302519,2.5411284,0.006623247,round_3,phase2,8,0,D1_1
9.207186,2.0359812,5.5271325,3.5079613,7.7717934,4.7556047,1.3152533,10.391037,2.7103713,0.38586754,round_3,phase1,8,0,D1_1
9.235019,1.7860812,5.8685417,3.1593487,7.561283,4.606309,0.78843164,9.982493,1.8703991,-0.030802637,round_2,phase3,8,0,D1_1
9.243016,1.9337873,5.689041,3.2547057,7.7309885,4.8417773,1.3137531,10.31668,2.5803082,0.052051798,round_2,phase2,8,0,D1_1
9.1558275,1.6410861,5.965575,3.0097563,7.6438046,4.7218704,1.0073403,10.009606,2.1028118,-0.2689314,round_2,phase1,8,0,D1_1
9.2942705,1.9080126,5.7453537,3.1418831,7.6417246,4.891393,1.255739,10.243116,2.5257065,-0.067418665,round_4,phase3,8,0,D1_1
9.166298,1.6244841,5.921133,2.7879288,7.6090703,4.827775,1.1753691,10.167296,2.3777626,-0.4164294,round_4,phase2,8,0,D1_1
9.168681,1.7221209,5.842005,3.1727514,7.6750846,4.698518,1.0937817,10.151205,2.285388,-0.10160666,round_4,phase1,8,0,D1_1
8.656056,0.80559033,5.9474554,2.9261177,7.6602707,3.9119947,0.8101189,10.05038,2.161998,0.11959645,round_1,phase3,8,0,D1_1
8.6038,0.38621798,6.0446267,2.9256825,7.581023,3.3290925,0.7133814,10.1913595,2.0517359,0.0397507,round_1,phase2,8,0,D1_1
9.095268,1.7127637,5.7931786,2.6986907,7.8265886,4.619609,1.0883868,10.46704,2.1593823,-0.3676428,round_1,phase1,8,0,D1_1
8.805927,2.044524,5.6738176,1.8556108,8.516191,4.3020678,0.7823653,10.354594,1.7383964,0.2952335,round_3,phase3,9,1,D1_1
8.727398,2.2613647,5.356923,2.1784744,8.517772,4.3178277,0.9353243,10.686682,2.0400941,0.6552558,round_3,phase2,9,1,D1_1
8.739206,1.4989567,6.0553985,1.9868499,8.1586075,4.367926,0.8486355,9.894094,1.8724933,-0.17264438,round_3,phase1,9,1,D1_1
8.884209,2.2638247,5.485207,2.3111875,8.449717,4.402793,0.92206436,10.568884,1.9003093,0.5328748,round_2,phase3,9,1,D1_1
8.930177,1.9339943,5.8145485,1.875731,8.518945,4.228455,0.7397304,10.298587,1.585411,0.13634607,round_2,phase2,9,1,D1_1
8.898424,2.0843372,5.771747,1.8619921,8.443241,4.3969316,0.6892426,10.078964,1.6698515,0.36367905,round_2,phase1,9,1,D1_1
8.759053,2.203373,5.57734,2.013662,8.56216,4.2945232,0.7447176,10.275891,1.764069,0.68988156,round_4,phase3,9,1,D1_1
8.91197,2.4931343,5.383694,2.2664168,8.24146,4.707174,0.80432606,10.200556,2.0785658,0.8115857,round_4,phase2,9,1,D1_1
8.728374,2.2527773,5.3857403,2.2088833,8.478264,4.295947,0.89951104,10.610355,1.9867033,0.6937307,round_4,phase1,9,1,D1_1
8.288944,1.2597159,5.51931,1.6163713,7.9087048,4.099824,0.70033205,10.642894,2.1621,-0.060533177,round_1,phase3,9,1,D1_1
8.939183,1.7516901,5.8291426,1.9967358,8.417699,4.139362,0.7836214,10.5025215,1.5870137,-0.10592092,round_1,phase2,9,1,D1_1
9.219791,1.7496969,5.87268,3.0281212,7.6108603,4.4850917,0.6984764,10.074796,1.7009546,-0.12067917,round_1,phase1,9,1,D1_1
9.020612,1.5250005,5.9070582,2.5168107,7.655014,4.7175813,1.1083479,10.219402,2.3258824,-0.46369785,round_3,phase3,10,1,D1_1
8.957128,1.0416976,6.4456663,2.9293172,7.7751336,4.1716924,1.0287749,9.446223,2.017308,-0.31373686,round_3,phase2,10,1,D1_1
9.121279,1.5783911,5.9088345,2.8266308,7.642122,4.765537,1.2001213,10.240688,2.3904839,-0.42629838,round_3,phase1,10,1,D1_1
8.740541,0.4932723,6.10106,2.9793139,7.5623345,3.449008,0.79345334,10.1781225,2.0612903,-0.09907366,round_2,phase3,10,1,D1_1
9.072225,1.6493063,5.8231235,2.5217688,7.7727394,4.677189,1.0860115,10.441105,2.1924584,-0.48660395,round_2,phase2,10,1,D1_1
9.005295,1.2280675,6.0896044,2.9251564,7.7286544,4.384085,1.1424183,10.11382,2.233974,-0.41728556,round_2,phase1,10,1,D1_1
9.180946,1.6220431,5.861796,3.096344,7.718678,4.678425,1.2478687,10.321201,2.4243515,-0.23116882,round_4,phase3,10,1,D1_1
9.276925,1.8002502,5.8036637,3.0037222,7.65275,4.884346,1.2705393,10.313472,2.475818,-0.27212992,round_4,phase2,10,1,D1_1
8.8478775,0.59998226,6.1093082,3.0462554,7.630623,3.454421,0.76074016,10.150015,1.9480226,0.008095846,round_4,phase1,10,1,D1_1
8.937434,1.3314703,5.9140105,2.304882,7.8537903,4.3014,0.92577595,10.457,1.9830619,-0.53511703,round_1,phase3,10,1,D1_1
8.59485,0.24031684,6.1129203,3.1403198,7.5039473,3.0372818,0.61635876,10.019508,1.9653723,0.3166762,round_1,phase2,10,1,D1_1
8.758838,0.56852037,6.1113563,2.610473,7.749042,3.589415,0.7854745,10.393684,1.876146,-0.46552277,round_1,phase1,10,1,D1_1
9.188188,1.3674266,6.1219163,2.2861338,8.623735,3.539592,0.6276891,10.486478,1.0969338,-0.15581426,round_3,phase3,11,0,D1_1
8.770566,1.2592908,5.8702483,2.946555,7.9788957,4.1004133,1.3022457,10.504807,2.5193665,-0.21162148,round_3,phase2,11,0,D1_1
8.903898,1.5848179,5.944513,1.999441,7.7686787,4.6417403,0.8921148,9.924565,2.202439,-0.24304901,round_3,phase1,11,0,D1_1
9.2199955,1.3885747,6.1114893,2.340973,8.616997,3.5415409,0.623405,10.496279,1.089089,-0.12956032,round_2,phase3,11,0,D1_1
8.947075,0.8530078,6.15273,2.5284002,8.052504,3.627498,0.8272551,10.501602,1.6189525,-0.55857706,round_2,phase2,11,0,D1_1
