Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1
round_2,phase2,20,0,D1_2,1,0.01979893831381823,0.9802010616861808
round_2,phase1,20,0,D1_2,0,0.9999928334944533,7.166505547237354e-06
round_4,phase3,20,0,D1_2,1,0.015364514515575916,0.9846354854844246
round_4,phase2,20,0,D1_2,1,0.024213093121611625,0.9757869068783868
round_4,phase1,20,0,D1_2,1,0.03669001386654078,0.9633099861334601
round_1,phase3,20,0,D1_2,1,0.1929547738430034,0.807045226156995
round_1,phase2,20,0,D1_2,0,0.9958129436429574,0.004187056357043874
round_1,phase1,20,0,D1_2,0,0.9972575647516738,0.0027424352483265235
round_3,phase3,21,1,D1_3,1,0.11203695656768116,0.8879630434323172
round_3,phase2,21,1,D1_3,1,0.014813032659451567,0.9851869673405481
round_3,phase1,21,1,D1_3,1,0.23644839875477866,0.7635516012452203
round_2,phase3,21,1,D1_3,1,0.05290518420040592,0.9470948157995951
round_2,phase2,21,1,D1_3,1,0.011143411792158223,0.9888565882078404
round_2,phase1,21,1,D1_3,0,0.8058125056682968,0.1941874943317049
round_4,phase3,21,1,D1_3,0,0.7336279087238241,0.2663720912761743
round_4,phase2,21,1,D1_3,1,0.0896469226062428,0.9103530773937579
round_4,phase1,21,1,D1_3,0,0.9999999705371967,2.9462800852821342e-08
round_1,phase3,21,1,D1_3,0,0.5853506067866847,0.4146493932133164
round_1,phase2,21,1,D1_3,0,0.9898035914691932,0.01019640853080692
round_1,phase1,21,1,D1_3,0,0.9882506666266988,0.01174933337330042
round_3,phase3,22,0,D1_3,0,0.8183220068296341,0.1816779931703651
round_3,phase2,22,0,D1_3,1,0.030513453881180666,0.9694865461188197
round_3,phase1,22,0,D1_3,0,0.592016073950981,0.4079839260490174
round_2,phase3,22,0,D1_3,0,0.9999135195376359,8.648046236480853e-05
round_2,phase2,22,0,D1_3,1,0.12999648758601057,0.870003512413988
round_2,phase1,22,0,D1_3,0,0.999994820393133,5.179606867673141e-06
round_4,phase3,22,0,D1_3,0,0.5502247431807941,0.4497752568192064
round_4,phase2,22,0,D1_3,1,0.023425365774605154,0.976574634225396
round_4,phase1,22,0,D1_3,0,0.9936769420950109,0.0063230579049882996
round_1,phase3,22,0,D1_3,0,0.9999991308057237,8.691942773078988e-07
round_1,phase2,22,0,D1_3,0,0.9456280199625746,0.05437198003742604
round_1,phase1,22,0,D1_3,1,0.048288490529606806,0.9517115094703915
round_3,phase3,23,0,D1_3,1,0.040465504532103715,0.9595344954678972
round_3,phase2,23,0,D1_3,1,0.015545152660487522,0.984454847339511
round_3,phase1,23,0,D1_3,0,0.9998333989817229,0.00016660101827786986
round_2,phase3,23,0,D1_3,0,0.6180885596878487,0.3819114403121502
round_2,phase2,23,0,D1_3,0,0.9836295957033467,0.016370404296652895
round_2,phase1,23,0,D1_3,0,0.9879172079222841,0.012082792077715721
round_4,phase3,23,0,D1_3,0,0.8836741693816085,0.11632583061839248
round_4,phase2,23,0,D1_3,1,0.038137324910861164,0.96186267508914
round_4,phase1,23,0,D1_3,0,0.999185292129848,0.0008147078701525554
round_1,phase3,23,0,D1_3,0,0.5162492101589551,0.4837507898410463
round_1,phase2,23,0,D1_3,0,0.9999997918900551,2.081099468406014e-07
round_1,phase1,23,0,D1_3,1,0.1388793866435912,0.8611206133564078
round_3,phase3,24,1,D1_3,1,0.045550785065391196,0.9544492149346084
round_3,phase2,24,1,D1_3,1,0.4359719220714194,0.5640280779285808
round_3,phase1,24,1,D1_3,0,0.9998707336296959,0.00012926637030436454
round_2,phase3,24,1,D1_3,1,0.1583027579117793,0.8416972420882197
round_2,phase2,24,1,D1_3,0,0.9815552408761452,0.018444759123853738
round_2,phase1,24,1,D1_3,0,0.9997542444542745,0.0002457555457267579
round_4,phase3,24,1,D1_3,0,0.9823776467809131,0.017622353219085635
round_4,phase2,24,1,D1_3,0,0.9950417282700839,0.004958271729915476
round_4,phase1,24,1,D1_3,0,0.9997794280916481,0.00022057190835110695
round_1,phase3,24,1,D1_3,1,0.1784556668957057,0.8215443331042958
round_1,phase2,24,1,D1_3,0,0.8715029057613166,0.12849709423868214
