Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5
round_1,phase3,13,1,D1_1,1,0.00014979456,0.9998503,2.5786202e-22,6.6522e-41,9.566673e-30,0.0
round_1,phase2,13,1,D1_1,0,0.9950261,3.1045056e-15,0.004974025,3.7276874e-23,1.0222636e-28,0.0
round_1,phase1,13,1,D1_1,0,1.0,4.2329485e-28,4.9994426e-28,1.0425137e-20,3.8186604e-10,7.2106206e-12
round_3,phase3,14,0,D1_1,4,5.533122e-08,5.139593e-31,0.0,0.0,1.0,0.0
round_3,phase2,14,0,D1_1,3,3.0403974e-11,0.0,4.7986174e-32,1.0,5.41906e-40,0.0
round_3,phase1,14,0,D1_1,3,9.986335e-12,0.0,6.270441e-21,1.0,0.0,0.0
round_2,phase3,14,0,D1_1,2,7.00229e-27,1.0257256e-26,0.99986076,2.0063722e-28,0.0,0.0001390631
round_2,phase2,14,0,D1_1,1,4.1182306e-09,1.0,1.3627226e-11,4.4910837e-38,8.03085e-37,9.156e-42
round_2,phase1,14,0,D1_1,0,1.0,0.0,0.0,6.5649415e-24,1.2776469e-11,1.1e-44
round_4,phase3,14,0,D1_1,4,1.1618569e-06,1.6591357e-25,0.0,0.0,0.99999905,0.0
round_4,phase2,14,0,D1_1,0,1.0,0.0,3.3374314e-35,1.36033915e-14,1.2802364e-09,0.0
round_4,phase1,14,0,D1_1,0,0.99939173,1.4717161e-22,0.0,0.0,0.00060871494,3.05e-43
round_1,phase3,14,0,D1_1,2,0.010775714,1.1402888e-10,0.98922426,2.3109847e-14,5.193119e-31,0.0
round_1,phase2,14,0,D1_1,3,0.00027327542,3e-45,9.09154e-07,0.9997254,2.814233e-32,1.1403743e-35
round_1,phase1,14,0,D1_1,1,9.316162e-07,0.99999714,1.8058456e-06,4.8057286e-23,2.307728e-34,0.0
round_3,phase3,15,1,D1_2,4,1.7395545e-11,4.646481e-37,0.0,0.0,1.0,6.064497e-16
round_3,phase2,15,1,D1_2,1,7.6317446e-07,0.99999905,2.4665442e-20,2.7e-44,7.81476e-39,0.0
round_3,phase1,15,1,D1_2,0,1.0,0.0,0.0,0.0,8.883254e-26,6.8634165e-10
round_2,phase3,15,1,D1_2,5,9.2714814e-24,1.6556166e-37,4.152345e-12,0.0,2.3021337e-36,1.0
round_2,phase2,15,1,D1_2,3,0.00012243097,0.0,0.004516169,0.9953616,4.3734264e-32,1.4640476e-33
round_2,phase1,15,1,D1_2,4,7.5281577e-07,0.0,0.0,0.0,0.99999905,2.5049707e-07
round_4,phase3,15,1,D1_2,3,1.3778325e-06,5.5931254e-23,0.0,0.99999905,0.0,0.0
round_4,phase2,15,1,D1_2,2,3.499946e-13,0.0,0.99834484,0.0016556216,2.0823e-41,5.3e-44
round_4,phase1,15,1,D1_2,1,2.6588168e-06,0.99999714,1e-44,0.0,3.3632507e-11,0.0
round_1,phase3,15,1,D1_2,5,1.1356641e-20,9.907177e-21,9.534774e-08,1.12000895e-11,0.0,1.0
round_1,phase2,15,1,D1_2,3,9.917986e-22,0.0,4.7318797e-05,0.9999528,1.4054924e-33,1.2781249e-18
round_1,phase1,15,1,D1_2,1,4.136013e-09,1.0,7.299794e-23,8.3e-43,9.303597e-28,1.9287e-41
round_3,phase3,16,0,D1_2,4,6.544522e-10,7.4905e-40,0.0,0.0,1.0,3.2161317e-21
round_3,phase2,16,0,D1_2,1,5.1344355e-06,0.9990639,0.00093112735,3.4204092e-28,7.855562e-38,0.0
round_3,phase1,16,0,D1_2,4,3.1640372e-13,2.9349258e-13,0.0,0.0,1.0,0.0
round_2,phase3,16,0,D1_2,0,1.0,4e-45,0.0,3.3020675e-09,8.3286107e-13,1.9429342e-16
round_2,phase2,16,0,D1_2,1,1.7829176e-07,0.9999981,1.8595675e-06,6.1083336e-23,1.406507e-39,0.0
round_2,phase1,16,0,D1_2,4,2.397235e-10,6.941639e-08,0.0,0.0,1.0,6.901e-42
round_4,phase3,16,0,D1_2,1,1.9957993e-06,0.9999981,0.0,0.0,6.922969e-08,0.0
round_4,phase2,16,0,D1_2,0,1.0,3.258e-42,0.0,1.277914e-20,8.007943e-28,0.0
round_4,phase1,16,0,D1_2,4,4.9816343e-05,0.0,0.0,0.0,0.9999504,0.0
round_1,phase3,16,0,D1_2,2,9.863873e-16,6.67349e-40,1.0,3.3957487e-12,0.0,0.0
round_1,phase2,16,0,D1_2,2,1.4455511e-18,0.0,1.0,8.115485e-09,0.0,2.08234e-33
