Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,pa_score,na_score,emotional_cluster_id,emotional_label
round_3,phase1,12,0,D1_1,0,0.9939165386265216,0.0001925431413504,0.0058909182321272,3.2,1.5,1,Alert/Anxious
round_2,phase3,12,0,D1_1,0,0.9979808794752728,0.0015715745900006,0.0004475459347273,2.2,2.3333333333333335,3,Tense/Stressed
round_2,phase2,12,0,D1_1,2,0.0081361661097036,0.0029309694424268,0.9889328644478688,2.6,2.8333333333333335,3,Tense/Stressed
round_2,phase1,12,0,D1_1,1,0.0707170347782791,0.8125005966422908,0.1167823685794317,2.8,1.3333333333333333,1,Alert/Anxious
round_4,phase3,12,0,D1_1,1,0.0056157015105888,0.9943412009532832,4.309753612710373e-05,1.2,2.0,3,Tense/Stressed
round_4,phase2,12,0,D1_1,1,0.0717401894425906,0.9202606379014472,0.0079991726559632,2.2,2.0,3,Tense/Stressed
round_4,phase1,12,0,D1_1,0,0.9817394490615244,1.2984337584394693e-13,0.018260550938344,2.0,1.1666666666666667,2,Drained/Disengaged
round_1,phase3,12,0,D1_1,2,2.7010160300091805e-11,7.82591510864892e-10,0.9999999991904004,3.2,1.6666666666666667,3,Tense/Stressed
round_1,phase2,12,0,D1_1,2,0.0001416835409225,0.000269629367825,0.9995886870912511,2.2,2.5,3,Tense/Stressed
round_1,phase1,12,0,D1_1,0,0.9477590201862532,1.6930387051667448e-10,0.0522409796444423,2.4,0.8333333333333334,0,Engaged/Calm
round_3,phase3,13,1,D1_1,0,0.9049531381786924,0.0927515781212952,0.0022952837000126,3.2,1.6666666666666667,3,Tense/Stressed
round_3,phase2,13,1,D1_1,0,0.6150914461504533,0.3730641464819099,0.011844407367637,3.2,2.1666666666666665,3,Tense/Stressed
round_3,phase1,13,1,D1_1,1,0.0230351976497539,0.9768206876800184,0.0001441146702278,3.4,1.6666666666666667,3,Tense/Stressed
round_2,phase3,13,1,D1_1,1,0.0071787903430414,0.7245796186053198,0.2682415910516375,3.4,2.0,3,Tense/Stressed
round_2,phase2,13,1,D1_1,2,0.1538947988439,0.3030909977137715,0.5430142034423282,3.8,2.8333333333333335,3,Tense/Stressed
round_2,phase1,13,1,D1_1,2,3.87234109787338e-19,1.9366936492908612e-22,1.0,3.6,1.3333333333333333,1,Alert/Anxious
round_4,phase3,13,1,D1_1,1,0.0381628791112171,0.9605995087020872,0.0012376121866965,2.6,1.1666666666666667,1,Alert/Anxious
round_4,phase2,13,1,D1_1,2,0.180442583520621,0.0013540778132702,0.8182033386661102,2.6,1.5,1,Alert/Anxious
round_4,phase1,13,1,D1_1,0,0.981212116768312,0.0072022494321962,0.0115856337994931,3.0,1.6666666666666667,3,Tense/Stressed
round_1,phase3,13,1,D1_1,0,0.9910233327410658,7.979847880974974e-08,0.0089765874604553,3.0,1.5,1,Alert/Anxious
round_1,phase2,13,1,D1_1,0,0.9829595186964758,7.04694427806487e-14,0.017040481303453,3.0,2.0,3,Tense/Stressed
