Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
round_4,phase3,6,1,D1_6,1,0.2450813000321945,0.7147463825108785,0.040172317456928244
round_4,phase2,6,1,D1_6,1,0.2315551360548111,0.659789414827743,0.10865544911744723
round_4,phase1,6,1,D1_6,1,0.10749248915238778,0.8855688267072478,0.0069386841403649615
round_1,phase3,6,1,D1_6,1,0.0009206522994678733,0.9192311529721657,0.07984819472836473
round_1,phase2,6,1,D1_6,2,2.7701212232941237e-06,1.5610519957126291e-09,0.999997228317725
round_1,phase1,6,1,D1_6,1,0.12552861281618297,0.8459832508910674,0.028488136292747983
round_3,phase3,7,1,D1_1,0,0.7880971586087917,0.0001370553582878569,0.21176578603292087
round_3,phase2,7,1,D1_1,0,0.9901290878110919,0.0062368729686766355,0.0036340392202311974
round_3,phase1,7,1,D1_1,0,0.9894847628607123,0.004535115251754726,0.005980121887532821
round_2,phase3,7,1,D1_1,0,0.976491120173084,4.769553008173649e-05,0.023461184296835514
round_2,phase2,7,1,D1_1,0,0.9638567415518418,1.9950753233053635e-11,0.036143258428208404
round_2,phase1,7,1,D1_1,1,0.002256884321199871,0.9777043934738541,0.020038722204946267
round_4,phase3,7,1,D1_1,0,0.7466181320511369,0.23870408768971035,0.014677780259152817
round_4,phase2,7,1,D1_1,1,0.01130350969367288,0.9693003356551456,0.019396154651182364
round_4,phase1,7,1,D1_1,0,0.9238938882685931,0.004391158562715814,0.0717149531686908
round_1,phase3,7,1,D1_1,2,2.4624718087277913e-09,0.0022866025502225715,0.9977133949873022
round_1,phase2,7,1,D1_1,2,0.0001323860363898116,1.0512247471693013e-07,0.9998675088411347
round_1,phase1,7,1,D1_1,2,1.95793527637154e-12,8.512412455242481e-18,0.9999999999980389
round_3,phase3,8,0,D1_1,2,0.028246645497525664,0.018842020491300508,0.9529113340111752
round_3,phase2,8,0,D1_1,0,0.5263224207788235,0.00012117061316808362,0.4735564086080074
round_3,phase1,8,0,D1_1,0,0.9660817002090469,3.9173107861697095e-06,0.033914382480167385
round_2,phase3,8,0,D1_1,2,0.026520061678510457,0.06565968878683309,0.9078202495346582
round_2,phase2,8,0,D1_1,1,0.025825216001856367,0.8853166811085252,0.08885810288961901
round_2,phase1,8,0,D1_1,1,0.008713961047928988,0.9496108831284795,0.04167515582359204
round_4,phase3,8,0,D1_1,1,0.0009206983177265213,0.9980923049295998,0.000986996752673462
round_4,phase2,8,0,D1_1,2,1.2863030651314562e-05,0.0020295447546206835,0.9979575922147291
round_4,phase1,8,0,D1_1,1,0.003546511342409033,0.9951434777464073,0.0013100109111824655
round_1,phase3,8,0,D1_1,2,0.07255143671761502,6.343853405817857e-05,0.9273851247483242
round_1,phase2,8,0,D1_1,2,0.002971677537295159,6.164598033695024e-16,0.997028322462704
round_1,phase1,8,0,D1_1,0,0.8183824863602174,9.492164613310189e-15,0.18161751363977227
round_3,phase3,9,1,D1_1,1,0.22694877311873649,0.7654839278249198,0.007567299056343861
round_3,phase2,9,1,D1_1,2,0.00011549836083761119,0.02787124403887933,0.9720132576002848
round_3,phase1,9,1,D1_1,2,0.21642854090282443,7.742431389748698e-12,0.7835714590894315
round_2,phase3,9,1,D1_1,1,0.04291461993946984,0.9534003027498864,0.003685077310644769
round_2,phase2,9,1,D1_1,1,0.04832549760761569,0.9350222954551521,0.016652206937232635
round_2,phase1,9,1,D1_1,1,0.2503126956563515,0.7089838991276484,0.04070340521600086
round_4,phase3,9,1,D1_1,0,0.805238804081233,0.06642050251085097,0.1283406934079147
